Log ID,Username,Log Type,command,file,filename,full_command,stderr,stdout,time
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls /home/jovyan,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-23:20:50
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,.,ls .,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-23:20:54
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-23:20:54
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,..,ls ..,,jovyan,2023-03-23:20:54
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",2023-03-23:20:54
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,./data-store/data/input/RNA_SEQ_SAMPLES,ls ./data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",2023-03-23:20:55
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,stderr.txt,ls stderr.txt,,stderr.txt,2023-03-23:20:55
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,Stderr.txt,ls Stderr.txt,ls: cannot access 'Stderr.txt': No such file or directory,,2023-03-23:20:57
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls –l data-store/data/input/Discovery/,ls: cannot access '–l': No such file or directory,"data-store/data/input/Discovery/:
FilteredSortedOutput
RNASequenceOutput
TSVFiles
UncompressedSamples",2023-03-23:21:36
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls –l data-store/data/input/Discovery/TSVFiles,ls: cannot access '–l': No such file or directory,"data-store/data/input/Discovery/TSVFiles:
A_1_abundance.tsv
A_2_abundance.tsv
B_1_abundance.tsv
B_2_abundance.tsv",2023-03-23:21:37
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,history,,,history,," 1 ls /home/jovyan
 2 ls .
 3 ls
 4 ls ..
 5 ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 6 ls ./data-store/data/input/RNA_SEQ_SAMPLES
 7 ls stderr.txt
 8 ls Stderr.txt
 9 ls –l data-store/data/input/Discovery/
 10 ls –l data-store/data/input/Discovery/TSVFiles
 11 history",2023-03-23:21:37
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls – l,"ls: cannot access '–': No such file or directory
ls: cannot access 'l': No such file or directory",,2023-03-23:21:38
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls -l,,"total 4
drwxrwsrwx 2 root jovyan 42 Mar 23 20:46 data-store
-rw-r--r-- 1 jovyan users 0 Mar 23 21:38 stderr.txt
-rw-r--r-- 1 jovyan users 0 Mar 23 21:38 stdout.txt
drwxr-xr-x 6 jovyan users 4096 Mar 23 20:50 SuperShell
drwsrwsr-x 2 jovyan users 10 May 3 2022 work",2023-03-23:21:38
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls -l stderr.txt,,-rw-r--r-- 1 jovyan users 0 Mar 23 21:38 stderr.txt,2023-03-23:21:38
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls -l ./data-store/data/input/RNA_SEQ_SAMPLES/ stderr.txt,,"-rw-r--r-- 1 jovyan users 0 Mar 23 21:38 stderr.txt

./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B",2023-03-23:21:38
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls -l -R ./data-store/data/input/RNA_SEQ_SAMPLES/,,"./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_A:
total 0
-r-------- 1 jovyan jovyan 3677295 May 20 2020 Drug_A_1.fastq
-r-------- 1 jovyan jovyan 804307 May 20 2020 Drug_A_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 22 2020 Drug_A_2.fastq
-r-------- 1 jovyan jovyan 772800 May 20 2020 Drug_A_2.fastq.gz

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_B:
total 0
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_1.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_2.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_2.fastq.gz",2023-03-23:21:38
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,cd,,,cd RNA_SEQ_SAMPLES,/home/jovyan/.offline.sh: line 354: cd: RNA_SEQ_SAMPLES: No such file or directory,,2023-03-23:21:39
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,pwd,,,pwd,,/home/jovyan,2023-03-23:21:39
f54d00390f36c13144c7f51475d2cf8d855ec1e20c0ac0f8d18eed5b18768a71,emilyshen,Bash,ls,,,ls,,"data-store
stderr.txt
stdout.txt
SuperShell
work",2023-03-23:21:39
