,time,Log ID,Course,Log Type,Machine ID,command,file,filename,full_command,stderr,stdout,diff_l,diff_wc,new_l,new_wc,old_l,old_wc,total_time(s)
0,2021-04-19 19:34:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,ls,,,ls,,"SuperShell
stderr.txt",,,,,,,
1,2021-04-19 19:35:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,export,,,export $TEST=Hello,/home/supershell/.offline.sh: line 358: export: `=Hello': not a valid identifier,,,,,,,,
2,2021-04-19 19:35:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,export,,,export $TEST='Hello',/home/supershell/.offline.sh: line 358: export: `=Hello': not a valid identifier,,,,,,,,
3,2021-04-19 19:36:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,export,,,export PATH=$PATH:$HOME/bin,,,,,,,,,
4,2021-04-19 19:36:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,export,,,export PATH=$PATH:test/bin,,,,,,,,,
5,2021-04-19 19:36:00,490cd3ad601e875614199fc11aa5ebe2ad67d289cbe519e3a41d8fbd2f2af05e,Comp-512-Test,Bash,10bcd15c,echo,,,echo $PATH,,/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin,,,,,,,
6,2022-09-29 18:52:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,clear,,,clear,,[H[2J[3J,,,,,,,
7,2022-09-29 18:53:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,pwd,,,pwd,,/home/jovyan,,,,,,,
8,2022-09-29 18:53:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,echo,,,echo $PATH,,/opt/conda/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/bin/TDM-GCC-64/bin,,,,,,,
9,2022-09-29 18:54:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,hostname,,,hostname,,ac9d01872,,,,,,,
10,2022-09-29 18:54:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,pwd,,,pwd,,/home/jovyan,,,,,,,
11,2022-09-29 18:56:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,ls,,,ls,,"data
home
stderr.txt
stdout.txt
SuperShell",,,,,,,
12,2022-09-29 18:57:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,ls,,,ls /home/jovyan,,"data
home
stderr.txt
SuperShell",,,,,,,
13,2022-09-29 19:00:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,clear,,,clear,,[H[2J[3J,,,,,,,
14,2022-09-29 19:00:00,33bb76e6130caab90d89f35542de42c1be3a0f364190f6e3645cd8f03613c1ab,Comp-512-Test,Bash,ac9d0,ls,,,ls,,"data
home
stderr.txt
SuperShell",,,,,,,
15,2022-09-11 18:18:00,8067d36662ba1f8b6d7e2281fb338c35f016d2f2e72b2e09bb010bd323e89970,Comp-512-Test,Bash,a80ca,ls,,,ls /home/jovyan,,"data
home
stderr.txt
SuperShell",,,,,,,
16,2022-09-11 18:27:00,8067d36662ba1f8b6d7e2281fb338c35f016d2f2e72b2e09bb010bd323e89970,Comp-512-Test,Bash,a80ca,ls,,,ls,,"data
home
stderr.txt
stdout.txt
SuperShell",,,,,,,
17,2022-09-11 18:27:00,8067d36662ba1f8b6d7e2281fb338c35f016d2f2e72b2e09bb010bd323e89970,Comp-512-Test,Bash,a80ca,ls,,..,ls ..,,jovyan,,,,,,,
18,2022-09-11 18:27:00,8067d36662ba1f8b6d7e2281fb338c35f016d2f2e72b2e09bb010bd323e89970,Comp-512-Test,Bash,a80ca,ls,,,ls /home/jovyan/RNA_SEQ_SAMPLES,ls: cannot access '/home/jovyan/RNA_SEQ_SAMPLES': No such file or directory,,,,,,,,
