,time,Log ID,Course,Log Type,Machine ID,command,file,filename,full_command,stderr,stdout,diff_l,diff_wc,new_l,new_wc,old_l,old_wc,total_time(s)
0,2023-01-19 16:10:00,d04e4ff0c8708760457e1cefad014855b3262f35c85a7a76c87d1f72539299ec,Cyverse-RNA-Tutorial,Bash,a3f8b,ls,,,ls,,"data-store
stderr.txt
SuperShell
work",,,,,,,
1,2023-01-17 19:03:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls /home/jovyan,,"data-store
stderr.txt
stdout.txt
SuperShell
work",,,,,,,
2,2023-01-17 19:03:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,.,ls .,,"data-store
stderr.txt
stdout.txt
SuperShell
work",,,,,,,
3,2023-01-17 19:03:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,/home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,,,/home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,/home/jovyan/.offline.sh: line 368: /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES: Is a directory,,,,,,,,
4,2023-01-17 19:03:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",,,,,,,
5,2023-01-17 19:04:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,./data/input/RNA_SEQ_SAMPLES,ls ./data/input/RNA_SEQ_SAMPLES,ls: cannot access './data/input/RNA_SEQ_SAMPLES': No such file or directory,,,,,,,,
6,2023-01-17 19:04:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,./data-store/data/input/RNA_SEQ_SAMPLES,ls ./data-store/data/input/RNA_SEQ_SAMPLES,,"Drug_A
Drug_B",,,,,,,
7,2023-01-17 19:04:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,stderr.txtls,ls stderr.txtls stderr.txt,ls: cannot access 'stderr.txtls': No such file or directory,stderr.txt,,,,,,,
8,2023-01-17 19:05:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,stderr.txt,ls stderr.txt,,stderr.txt,,,,,,,
9,2023-01-17 19:08:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls d^t,ls: cannot access 'd^t': No such file or directory,,,,,,,,
10,2023-01-17 19:08:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"data-store
stderr.txt
stdout.txt
SuperShell
work",,,,,,,
11,2023-01-17 19:10:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls data-store/data/input/Discov,ls: cannot access 'data-store/data/input/Discov': No such file or directory,,,,,,,,
12,2023-01-17 19:10:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l data-store/data/input/Discovery/,,"total 0
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 FilteredSortedOutput
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 RNASequenceOutput
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 TSVFiles
dr-x------ 1 jovyan jovyan 0 Sep 20 17:54 UncompressedSamples",,,,,,,
13,2023-01-17 19:11:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l data-store/data/input/Discovery/,,"total 0
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 FilteredSortedOutput
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 RNASequenceOutput
dr-x------ 1 jovyan jovyan 0 Sep 20 17:53 TSVFiles
dr-x------ 1 jovyan jovyan 0 Sep 20 17:54 UncompressedSamples",,,,,,,
14,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l data-store/data/input/Discovery/TSVFiles,,total 0,,,,,,,
15,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd data-store/,,,,,,,,,
16,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"data
home",,,,,,,
17,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd data,,,,,,,,,
18,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"input
iplant
output",,,,,,,
19,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd input/,,,,,,,,,
20,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"Bash
Discovery
DNASubway
RNA_SEQ_SAMPLES",,,,,,,
21,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd Discovery/,,,,,,,,,
22,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"FilteredSortedOutput
RNASequenceOutput
TSVFiles
UncompressedSamples",,,,,,,
23,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd TSVFiles/,,,,,,,,,
24,2023-01-17 19:12:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,,,,,,,,
25,2023-01-17 19:13:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,cd,,,cd ~,,,,,,,,,
26,2023-01-17 19:13:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"data-store
stderr.txt
SuperShell
work",,,,,,,
27,2023-01-17 19:13:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,pwd,,,pwd,,/home/jovyan,,,,,,,
28,2023-01-17 19:13:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,history,,,history,," 1 ls /home/jovyan
 2 ls .
 3 /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 4 ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 5 ls ./data/input/RNA_SEQ_SAMPLES
 6 ls ./data-store/data/input/RNA_SEQ_SAMPLES
 7 ls stderr.txtls stderr.txt
 8 ls stderr.txt
 9 ls d^t
 10 ls
 11 ls data-store/data/input/Discov
 12 ls -l data-store/data/input/Discovery/
 13 ls -l data-store/data/input/Discovery/
 14 ls -l data-store/data/input/Discovery/TSVFiles
 15 cd data-store/
 16 ls
 17 cd data
 18 ls
 19 cd input/
 20 ls
 21 cd Discovery/
 22 ls
 23 cd TSVFiles/
 24 ls
 25 cd ~
 26 ls
 27 pwd
 28 history",,,,,,,
29,2023-01-17 19:14:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls,,"data-store
stderr.txt
stdout.txt
SuperShell
work",,,,,,,
30,2023-01-17 19:14:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,history,,,history,," 1 ls /home/jovyan
 2 ls .
 3 /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 4 ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 5 ls ./data/input/RNA_SEQ_SAMPLES
 6 ls ./data-store/data/input/RNA_SEQ_SAMPLES
 7 ls stderr.txtls stderr.txt
 8 ls stderr.txt
 9 ls d^t
 10 ls
 11 ls data-store/data/input/Discov
 12 ls -l data-store/data/input/Discovery/
 13 ls -l data-store/data/input/Discovery/
 14 ls -l data-store/data/input/Discovery/TSVFiles
 15 cd data-store/
 16 ls
 17 cd data
 18 ls
 19 cd input/
 20 ls
 21 cd Discovery/
 22 ls
 23 cd TSVFiles/
 24 ls
 25 cd ~
 26 ls
 27 pwd
 28 history
 29 ! !
 30 ! !.
 31 ! pw
 32 ls
 33 history",,,,,,,
31,2023-01-17 19:15:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,history,,,history,," 1 ls /home/jovyan
 2 ls .
 3 /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 4 ls /home/jovyan/data-store/data/input/RNA_SEQ_SAMPLES
 5 ls ./data/input/RNA_SEQ_SAMPLES
 6 ls ./data-store/data/input/RNA_SEQ_SAMPLES
 7 ls stderr.txtls stderr.txt
 8 ls stderr.txt
 9 ls d^t
 10 ls
 11 ls data-store/data/input/Discov
 12 ls -l data-store/data/input/Discovery/
 13 ls -l data-store/data/input/Discovery/
 14 ls -l data-store/data/input/Discovery/TSVFiles
 15 cd data-store/
 16 ls
 17 cd data
 18 ls
 19 cd input/
 20 ls
 21 cd Discovery/
 22 ls
 23 cd TSVFiles/
 24 ls
 25 cd ~
 26 ls
 27 pwd
 28 history
 29 ! !
 30 ! !.
 31 ! pw
 32 ls
 33 history
 34 !
 35 history",,,,,,,
32,2023-01-17 19:22:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l,,"total 4
drwxrwsrwx 2 root jovyan 42 Jan 17 18:58 data-store
-rw-r--r-- 1 jovyan users 0 Jan 17 19:22 stderr.txt
-rw-r--r-- 1 jovyan users 0 Jan 17 19:22 stdout.txt
drwxr-xr-x 6 jovyan users 4096 Jan 17 19:03 SuperShell
drwsrwsr-x. 2 jovyan users 6 May 3 2022 work",,,,,,,
33,2023-01-17 19:22:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,clear,,,clear,,[H[2J[3J,,,,,,,
34,2023-01-17 19:23:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l,,"total 4
drwxrwsrwx 2 root jovyan 42 Jan 17 18:58 data-store
-rw-r--r-- 1 jovyan users 0 Jan 17 19:23 stderr.txt
-rw-r--r-- 1 jovyan users 0 Jan 17 19:23 stdout.txt
drwxr-xr-x 6 jovyan users 4096 Jan 17 19:03 SuperShell
drwsrwsr-x. 2 jovyan users 6 May 3 2022 work",,,,,,,
35,2023-01-17 19:23:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l stderr.txt,,-rw-r--r-- 1 jovyan users 0 Jan 17 19:23 stderr.txt,,,,,,,
36,2023-01-17 19:24:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l ./data-store/data/input/RNA_SEQ_SAMPLES/ stderr.txt,,"-rw-r--r-- 1 jovyan users 0 Jan 17 19:24 stderr.txt

./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B",,,,,,,
37,2023-01-17 19:24:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,ls,,,ls -l -R ./data-store/data/input/RNA_SEQ_SAMPLES/,,"./data-store/data/input/RNA_SEQ_SAMPLES/:
total 0
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_A
dr-x------ 1 jovyan jovyan 0 May 29 2020 Drug_B

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_A:
total 0
-r-------- 1 jovyan jovyan 3677295 May 20 2020 Drug_A_1.fastq
-r-------- 1 jovyan jovyan 804307 May 20 2020 Drug_A_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 22 2020 Drug_A_2.fastq
-r-------- 1 jovyan jovyan 772800 May 20 2020 Drug_A_2.fastq.gz

./data-store/data/input/RNA_SEQ_SAMPLES/Drug_B:
total 0
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_1.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_1.fastq.gz
-r-------- 1 jovyan jovyan 3978812 May 20 2020 Drug_B_2.fastq
-r-------- 1 jovyan jovyan 827189 May 22 2020 Drug_B_2.fastq.gz",,,,,,,
38,2023-01-17 19:25:00,cb4db30c2a3bc9fca043f180f62c72c7d1bc8184cd74174aa62e5c80059c8c07,Cyverse-RNA-Tutorial,Bash,a07f4,clear,,,clear,,[H[2J[3J,,,,,,,
